objectid,ward,st_area(shape),st_perimeter(shape),population_2011
123,141,778330.6023423631,4248.798658935493,42142
124,134,945870.6432760457,4392.674410530271,34295
125,041,892280.4313137858,5315.495968280421,45011
126,040,1067102.8905027893,5627.847058460627,39579
127,037,4101102.6517429957,10647.516946632391,50905
128,044,690993.5115475014,4437.180403702516,52329
129,048,478733.8232630581,3638.047423384937,36560
130,042,1083515.125761333,5468.15881735452,46714
131,174,3462539.302699526,7752.013409090229,36776
132,047,623269.350409027,3820.942555265614,41478
133,045,1139751.971700198,5717.8207713290485,53989
134,034,2441686.3784885095,8925.548350767818,47339
135,035,1689439.3741808091,7403.57886523918,49905
136,036,1375623.609560433,5133.318980517102,53109
137,010,521626.4951670811,5930.140159318127,20261
138,186,2385093.631437821,8466.46136163213,25212
139,011,633390.2980667251,4790.865148175027,20842
140,002,2915968.289471914,7397.026966560898,18217
141,003,3158599.2287900904,8556.065569394346,21882
142,005,2318959.044411059,7566.573387208308,21225
143,007,7677696.882041367,13794.460185856,20796
144,008,724104.8554174466,4966.809193395558,19342
145,009,681428.2848656921,5836.36884602348,18650
146,096,2750964.2433299613,7986.930404587612,45775
147,014,667991.3838730804,4911.710409883969,19932
148,027,3643899.3581133573,8869.911024807601,12396
149,028,1310031.336431482,5877.309207200532,17729
150,021,1869769.5570240312,10848.778598539271,10556
151,078,672512.4348739132,5716.1086495878935,34995
152,081,1662260.6922741795,6419.6407541398185,33541
153,146,1080572.1540367927,6201.091463444621,27093
154,153,2265689.3006079863,7750.184907482165,26762
155,089,994946.4892523532,6185.8959747280005,26694
156,056,566587.6557742588,3244.325889178382,39500
157,029,2279372.297731978,8753.56151661196,17474
158,026,2152243.37118889,9982.479109481676,13944
159,128,1595875.3727316512,6627.76343729559,61662
160,184,3117236.443838574,10291.906820400145,27714
161,033,683214.4904322213,3915.955201825854,16658
162,061,2217493.671235144,8442.90586415225,37988
163,024,2710942.17692519,10316.508806131647,15307
164,023,4153959.154213561,13701.719729546401,15502
165,132,1096465.3487772236,4623.83764974941,37902
166,031,2487514.569559696,8538.814090723015,15843
167,137,1621839.7894400035,7043.199554924604,49358
168,013,470905.0137272649,3378.8060752829033,21772
169,046,1436053.9762862965,6308.685285876918,51863
170,168,3562866.5941545046,9253.843641742653,44859
