dataset,crs,bounds,resolution,width,height,nodata,valid_pixel_count,min,max,mean,median
lulc.tif,EPSG:4326,"(80.134, 12.852, 80.332, 13.235)","(8.3e-05, 8.3e-05)",2369,4596,0.0,5187413,10.0,90.0,41.43889834875303,50.0
lulc_analysis.tif,EPSG:32644,"(406095.0, 1420875.0, 427575.0, 1463235.0)","(30.0, 30.0)",716,1412,-9999.0,479972,10.0,90.0,41.48044204711914,50.0
ndvi.tif,EPSG:32644,"(406095.0, 1420875.0, 427575.0, 1463235.0)","(30.0, 30.0)",716,1412,-9999.0,479970,-0.583977222442627,0.9816332459449768,0.3232741057872772,0.2917981743812561
ndbi.tif,EPSG:32644,"(406095.0, 1420875.0, 427575.0, 1463235.0)","(30.0, 30.0)",716,1412,-9999.0,479977,-0.78188157081604,0.5326036214828491,-0.049771253019571304,-0.027422312647104263
lst.tif,EPSG:32644,"(406095.0, 1420875.0, 427575.0, 1463235.0)","(30.0, 30.0)",716,1412,-9999.0,479439,30.433380126953125,60.826416015625,47.74776077270508,48.377960205078125
humidity.tif,EPSG:32644,"(406095.0, 1420875.0, 427575.0, 1463235.0)","(30.0, 30.0)",716,1412,-9999.0,1010992,43.0,47.0,44.17366027832031,44.0
pm25.tif,EPSG:32644,"(406095.0, 1420875.0, 427575.0, 1463235.0)","(30.0, 30.0)",716,1412,-9999.0,1010992,6.400000095367432,7.099999904632568,6.737813949584961,6.400000095367432
thermal_exposure.tif,EPSG:32644,"(406095.0, 1420875.0, 427575.0, 1463235.0)","(30.0, 30.0)",716,1412,-9999.0,479439,0.0,100.0,64.46065521240234,68.1061782836914
