objectid,ward,st_area(shape),st_perimeter(shape),population_2011,population_density_2011
1,169,3767853.2420655666,11488.994456727227,44214,0.011734533475555841
2,004,2080903.004885259,6631.3819728349235,21184,0.010180195785323538
110,062,833486.8266025279,3679.1772373629997,36871,0.044237051892342616
111,063,963859.3806026942,6679.495555921726,35478,0.036808273814605476
3,178,2702199.805034666,9227.910990274322,39952,0.014784991074887397
4,015,8704598.135679381,15897.118136045889,12119,0.0013922526704966754
5,016,10025090.833130874,15861.654614170262,8974,0.0008951539840759115
6,172,8376088.209682553,13512.780169617668,48061,0.005737881311283549
7,177,2780309.0420508147,8637.193538903583,43792,0.015750767032609473
8,018,8073370.104110489,14248.643338589929,13621,0.0016871516881240192
9,176,1786223.75378006,7506.647192807113,44360,0.024834514660396854
10,175,1436557.8125019742,6602.767753798454,48959,0.03408077250628068
11,180,1820715.333407873,5919.091058779292,41210,0.02263396108323333
12,198,6300400.037681095,12418.276000093982,20675,0.0032815376605212472
13,192,2553064.307006546,6485.46248167984,23187,0.009082027403840303
14,185,945483.2508114831,5155.306103076273,25301,0.026759860609148627
15,189,10198223.00999183,18008.74757169058,18551,0.0018190423941332168
16,190,3064474.0682148123,12740.854691613556,19027,0.00620889574408572
17,066,1035112.4193994598,5925.456442827606,35551,0.03434506178626046
18,171,3349903.75917531,8113.012771138037,37737,0.011265099749997062
19,183,1540296.3459564308,5114.227650540436,21902,0.014219341659477991
20,173,2735955.8442495274,9184.634635325194,40631,0.014850751369178286
21,182,3279671.7812239514,12178.737334844363,21451,0.0065405935199999285
22,126,1040025.3134649098,5664.125941455161,43585,0.04190763381979024
23,125,1238767.2341241958,5580.720901997869,42047,0.03394261556306588
24,115,851967.7988807013,5127.448111535998,43927,0.051559460413539614
25,116,679910.4072656677,3454.8237916859757,40519,0.059594616536245544
26,114,1759302.7598935752,7188.158716080999,40795,0.02318816347589189
27,124,1024965.8501932751,6182.252365897049,43622,0.04255946672932987
28,179,1872656.0859582655,6230.754319631043,37765,0.0201665432767785
29,123,2240045.3234278243,8749.582483227077,46542,0.020777258171178075
30,200,7517039.191168026,11062.35594570129,26106,0.003472909923187929
31,112,1060394.834819509,6710.95532590754,40803,0.038479063326393066
32,122,1815592.9335305807,7415.731651950546,39330,0.021662344721467573
33,121,924527.6226687612,6129.0938966402,40027,0.04329454201104041
34,120,533650.6894990805,3620.9677551807486,38962,0.0730103057424554
35,119,1386650.7588888821,7295.859624986189,38755,0.027948637933212707
36,118,1907306.3777921558,9204.348878591923,35611,0.018670833597915343
37,106,884665.6097911599,4826.232317459464,46112,0.05212364930844945
38,012,420852.9715414888,4253.978306538346,21367,0.05077070008971907
39,107,1247640.1188985913,5317.179023626749,46298,0.03710845723754986
40,105,1312336.174649272,6924.867323473276,47338,0.03607155004520949
41,104,2284091.255601277,8410.059006367372,40690,0.017814524660613236
42,099,1298695.7098823518,7483.504247940205,42305,0.032574990182906195
43,098,1436062.5404086758,6474.407222993347,46409,0.032316837668360104
44,100,2204796.866612374,7895.62628287243,43882,0.019902967327517937
45,097,741936.3143803119,4868.748883229055,45576,0.06142845297721609
46,101,1521425.037090803,7516.68487079647,41115,0.027024006439790263
47,102,1788838.8394960861,7986.732327335627,42422,0.023714824982193607
48,095,2338627.938624964,7943.088691124065,46608,0.01992963447935372
49,103,2446543.965659844,9270.432121814729,45835,0.01873459077104224
50,194,4513315.787922832,10529.899590538897,20994,0.004651569042914697
51,094,1501550.3762881677,6199.239476782592,43907,0.029241110184087264
52,020,637563.1671917345,7766.2204526597625,11071,0.017364553929243243
53,079,2091727.1628433694,7152.897796306201,32634,0.015601461117729754
54,080,1485293.4031809154,7159.981473436556,32992,0.022212446328344345
55,082,3877410.7075144444,13328.57356631445,33562,0.00865577637544474
56,162,1240130.4783928206,6673.049999680104,22187,0.017890859378566215
57,164,603783.3008979784,5011.662508708486,20128,0.033336463545885715
58,083,6638326.7684494695,12665.153237119817,32804,0.004941606694613214
59,158,2011592.2124579425,11468.23687347819,11239,0.005587116479371925
60,084,3133219.42586171,9990.451570948764,32909,0.01050325416993393
61,085,4379043.589059261,11795.587281631693,31683,0.00723514149965481
62,086,6249693.373842504,13878.93116074458,30235,0.00483783734519612
63,087,956260.6653125529,8565.386319293644,27681,0.028947128125313498
64,156,2778123.3041509665,10203.62023870972,20003,0.007200184372706667
65,088,2273286.3117153654,9659.249714194128,28809,0.012672842770192658
66,090,1083704.935035015,6698.479441557066,28579,0.026371569489140143
67,092,1040339.3657883529,6791.120466467558,30493,0.02931062786121996
68,093,1411102.482582355,8208.6901784426,32865,0.0232902998936379
69,159,3368374.355416168,8621.617774301127,4286,0.0012724238899124553
70,167,1135486.8677482586,5673.889862880595,22032,0.019403130609243268
71,157,4574614.917018644,11942.861691162081,18458,0.00403487513917989
72,166,1300046.5055747747,6843.002006158687,21845,0.016803245042639393
73,165,1160915.2875278983,8306.189912525864,20411,0.017581816881285146
74,163,759309.3747726677,4571.555319330956,20553,0.02706801823190111
75,197,8472956.548178364,16161.872434188292,19897,0.0023482948232842926
76,067,899402.2674543166,6620.501890321592,44406,0.049372790804372214
77,108,1530916.5148353335,7266.597285715509,39793,0.025992926207527498
78,070,1733009.5135091897,10043.343821962664,47064,0.027157381210619898
79,071,1532774.9081591922,7860.014314750659,46279,0.030192952503103946
80,074,949371.9613892444,5277.04677726784,38326,0.040369846128504173
81,077,574005.6893711955,4321.723950055048,45728,0.07966471560603089
82,069,1048867.7478853154,8313.547239917914,39058,0.03723825055994633
83,076,615561.8960996618,4507.592917400491,49921,0.08109826211841677
84,064,1584468.2187358749,9313.681335788826,41694,0.026314191415757415
85,075,952573.4674047756,4669.097124739115,46068,0.04836162414381462
86,073,928399.1382854338,5633.9133968107535,46079,0.04963274748951042
87,072,1318699.954497553,5836.946808398453,46466,0.03523621870276346
88,147,2047274.5176071806,9485.073832308291,25984,0.012691996005679617
89,148,882591.8367489298,5924.1228150941215,26546,0.03007732328205469
90,149,1416400.0193260103,7259.958393795818,25763,0.018189070635751082
91,150,3535567.6684441776,17182.59128119526,25011,0.007074111527613913
92,151,1664063.1904472106,7122.067556967356,25093,0.015079355245672103
93,155,1544985.245387322,6242.01018453606,26030,0.01684805733757954
94,145,1512545.7205784097,5405.155466983449,25031,0.01654892123884225
95,154,1171711.4318163272,5956.804953578663,25251,0.02155052798354727
96,144,1387934.3144972115,7597.836000767059,25597,0.018442515422116848
97,152,1604325.9991551754,7879.508678655885,25677,0.016004851890152806
98,049,779999.555974165,4609.606708084636,42899,0.054998749257519956
99,050,1536060.8273841313,5554.454520948487,44162,0.028750163543462437
100,143,2596970.3045549234,7452.859803490037,25859,0.00995737223280718
101,110,2053161.4943943745,7602.7180199902905,37110,0.01807456456850532
102,052,1036735.5337716155,7894.807819975568,40381,0.03895014561051557
103,054,593527.1256732709,3802.3647413498315,48560,0.08181597419817281
104,055,573519.1779544521,4275.164608923462,49245,0.08586460905394684
105,057,907816.7874152054,5054.104655534651,43555,0.047977742429739165
106,058,2593975.0365781304,8173.093871282072,40351,0.015555662421959715
107,059,2816285.7184088887,10637.069745644054,37207,0.013211372609246751
108,060,5138688.926750774,11385.844496273156,41754,0.0081254188753553
109,199,8074688.690161123,11880.530331430518,12323,0.0015261269471621086
112,051,403032.525313082,3773.3914796155505,40564,0.10064696383620465
113,053,853510.5036992758,4538.253841945154,40922,0.0479455142293344
114,193,2081865.938252086,8624.781369651415,16151,0.00775794430527079
115,019,4116757.3729373543,9513.017897079353,27674,0.006722281031649499
116,130,1202141.3145741401,5724.222951142635,43101,0.035853521942442
117,136,1193251.0922180593,5985.4683942631,49072,0.04112462190064553
118,131,1045094.653806091,6929.105829658547,40653,0.03889886897033428
119,129,1898497.209783801,7731.66898215196,46626,0.0245594250861763
120,138,1264206.7306353208,5025.979288128858,48239,0.038157525055856754
121,127,3857633.918577631,10676.527390829762,55837,0.014474416489107385
122,133,1838112.0463152623,6248.964955799354,37338,0.02031323393742451
123,141,778330.6023423631,4248.798658935493,42142,0.05414408719530606
124,134,945870.6432760457,4392.674410530271,34295,0.03625760059665077
125,041,892280.4313137858,5315.495968280421,45011,0.05044490321694739
