ward,pixel_count,mean,median,min,max
169,4189,46.15749740600586,46.282745361328125,38.106842041015625,54.161285400390625
004,2312,45.583038330078125,45.954620361328125,37.782135009765625,56.99139404296875
062,929,48.165828704833984,48.52496337890625,42.461395263671875,51.098724365234375
063,1071,48.84141540527344,49.17437744140625,43.155242919921875,51.696868896484375
178,3011,47.586769104003906,47.855010986328125,38.404205322265625,52.100189208984375
015,9590,43.08490753173828,43.510711669921875,33.557464599609375,51.023529052734375
016,11138,44.88331985473633,45.795684814453125,33.984710693359375,53.0435791015625
172,9301,44.60059356689453,43.739715576171875,37.973541259765625,53.0982666015625
177,3088,48.36445999145508,48.352325439453125,44.7548828125,53.569976806640625
018,8960,45.73094940185547,45.968292236328125,36.8148193359375,59.127655029296875
176,1989,47.6728630065918,47.708038330078125,42.044403076171875,50.627044677734375
175,1589,45.94912338256836,46.990264892578125,36.7122802734375,49.779388427734375
180,2028,47.75818634033203,47.626007080078125,44.153289794921875,54.161285400390625
198,7001,47.71063995361328,48.282257080078125,34.545257568359375,59.715545654296875
192,2831,48.13819122314453,47.940460205078125,44.231903076171875,52.462493896484375
185,1051,48.093116760253906,48.056671142578125,46.795440673828125,49.731536865234375
189,11336,45.336544036865234,47.115020751953125,33.444671630859375,58.505584716796875
190,3404,47.187652587890625,48.73004150390625,33.472015380859375,56.304351806640625
066,1153,49.70762252807617,49.707611083984375,47.991729736328125,51.625091552734375
171,3713,42.983924865722656,44.242156982421875,33.328460693359375,52.6300048828125
183,1718,48.719696044921875,48.58990478515625,44.3857421875,55.275543212890625
173,3039,45.616546630859375,46.286163330078125,34.234222412109375,50.613372802734375
182,3643,49.63568115234375,49.960540771484375,36.2713623046875,54.622711181640625
126,1163,46.69948959350586,46.522003173828125,41.873504638671875,52.496673583984375
125,1373,48.572776794433594,48.063507080078125,45.33935546875,58.611541748046875
115,953,49.19239807128906,49.32818603515625,46.583526611328125,51.440521240234375
116,754,49.253562927246094,48.82745361328125,46.539093017578125,57.52117919921875
114,1905,49.37676239013672,48.85992431640625,36.8216552734375,58.403045654296875
124,1144,47.46612548828125,47.743927001953125,40.45843505859375,50.182708740234375
179,2082,47.456764221191406,47.021026611328125,44.026824951171875,55.227691650390625
123,2491,46.43288040161133,46.306671142578125,42.854461669921875,49.967376708984375
200,8355,46.850486755371094,46.682647705078125,38.212799072265625,56.69061279296875
112,1176,48.0946159362793,48.208770751953125,45.500030517578125,50.117767333984375
122,2021,45.401519775390625,45.814483642578125,36.2850341796875,50.076751708984375
121,1029,48.25497055053711,48.080596923828125,45.14453125,57.719451904296875
